name,label
あい,1
あいか,1
あいさく,0
あいじろう,0
あかね,1
あき,1
あきお,0
あきお,1
あきこ,1
あきのり,0
あきひさ,0
あきひろ,0
あきみ,1
あきよ,1
あきよし,0
あきら,0
あさみ,1
あすか,1
あつこ,1
あつし,0
あつなり,0
あつや,0
あや,1
あやこ,1
あゆみ,1
ありか,1
いえつぐ,0
いくお,0
いくぞう,0
いくみ,1
いさお,0
いさみ,1
いそえ,1
いちお,0
いっせい,0
いわみ,1
うきょう,0
うめたろう,0
うんきち,0
えいき,0
えいご,0
えいじゅ,0
えいすけ,0
えいぞう,0
えいのすけ,0
えいはちろう,0
えつこ,1
えみ,1
えり,1
えりこ,1
おりえ,1
かおり,1
かくたろう,0
かずき,0
かずしげ,0
かずと,0
かずとも,0
かずのり,0
かずひさ,0
かずひろ,0
かずま,0
かずみ,0
かずや,0
かずよ,1
かずよし,0
かつあき,0
かつし,0
かつじ,0
かつと,0
かつのぶ,0
かつひで,0
かつひろ,0
かつみ,0
かつもと,0
かつゆき,0
かねかず,0
かねのり,0
かねよし,0
かめお,0
かよこ,1
かんいち,0
かんじ,0
きいちろう,0
きくえ,1
きくお,0
きくこ,1
きくはる,0
きしろう,0
きちじ,0
きみえ,1
きみお,0
きみきち,0
きみのり,0
きゅうさく,0
きょうあ,0
きょうこ,1
きょうじ,0
きょうぞう,0
きよ,1
きよかず,0
きよしげ,0
きよたか,0
きよのぶ,0
きよひろ,0
きよみ,1
きわ,1
きんじ,0
きんや,0
ぎんのすけ,0
くにえ,1
くにお,0
くにひろ,0
くにみ,1
くによし,0
くらみ,1
ぐんいち,0
けい,1
けいきち,0
けいし,0
けいじ,0
けいすけ,0
けいたろう,0
けさお,0
けんいち,0
けんご,0
けんじ,0
けんぞう,0
けんたろう,0
けんや,0
げんざぶろう,0
げんぺい,0
こういち,0
こういちろう,0
こうき,0
こうこ,1
こうざぶろう,0
こうしろう,0
こうじ,0
こうすけ,0
こうぞう,0
こうた,0
こうたろう,0
こはる,1
さくこ,1
さじゅうろう,0
さだお,0
さだじ,0
さだひさ,0
さだゆき,0
さちお,0
さちみ,1
さとし,0
さとみ,1
さとる,0
さやか,1
さゆみ,1
さよこ,1
さわこ,1
さんぺい,0
しげいち,0
しげお,0
しげき,0
しげざぶろう,0
しげぞう,0
しげつぐ,0
しげとし,0
しげのぶ,0
しげのり,0
しげふみ,0
しげみ,1
しげや,0
しげゆき,0
しげよし,0
しずえ,1
しずお,0
しな,1
しゅうきち,0
しゅうじ,0
しゅうへい,0
しゅんじ,0
しゅんろう,0
しょういち,0
しょうき,0
しょうこ,1
しょうじ,0
しょうじろう,0
しょうぞう,0
しょうへい,0
しん,1
しんいち,0
しんき,0
しんご,0
しんじ,0
しんじろう,0
しんたろう,0
しんぺい,0
しんや,0
じゅんいちろう,0
じゅんこ,1
じゅんじ,0
じゅんた,0
じゅんろう,0
じょうすけ,0
じんざぶろう,0
すいせん,0
すえお,0
すえたか,0
すみ,1
すみお,0
すみたか,0
すみのり,0
せいいち,0
せいこ,1
せいご,0
せいしろう,0
せいじ,0
せいじろう,0
せいな,1
せいや,0
せつみ,1
せんじ,0
ぜんじ,0
そういち,0
そうざぶろう,0
そうすけ,0
そうた,0
そうのすけ,0
